"customer_id","date_most_recent","recency_days","order_count","revenue","R_score","F_score","M_score","RFM_score"
7410,2020-05-18,306,7,2523,1,3,4,134
7431,2020-08-03,229,10,860,2,4,2,242
7438,2020-06-14,279,8,1628,2,4,3,243
7450,2020-10-09,162,9,1584,2,4,3,243
7451,2020-06-20,273,9,3614,2,4,4,244
7473,2020-06-19,274,8,574,2,4,2,242
7476,2020-10-05,166,6,2851,2,3,4,234
7501,2020-10-04,167,6,3263,2,3,4,234
7505,2019-04-30,690,8,2044,1,4,4,144
7542,2020-08-03,229,9,1930,2,4,4,244
7550,2020-08-13,219,10,3163,2,4,4,244
7580,2020-06-22,271,6,2937,2,3,4,234
7607,2020-10-10,161,9,774,2,4,2,242
7609,2020-09-10,191,8,629,2,4,2,242
